"Name der Installation";"phzh"
"Datum des Reports";"12. Mai 2020, 10:42"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (13. Mai 2019, 02:00 - 12. Mai 2020, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"825578"
"Abgänge";"824534"
"Abgänge - Logout";"104660"
"Abgänge - Timeout";"716545"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"3329"

"active_min";"active_max";"active_avg";"slot_begin"
"4";"573";"270";"13.05.2019 00:00"
"2";"567";"255";"14.05.2019 00:00"
"1";"527";"248";"15.05.2019 00:00"
"4";"661";"276";"16.05.2019 00:00"
"1";"483";"182";"17.05.2019 00:00"
"2";"260";"111";"18.05.2019 00:00"
"1";"307";"152";"19.05.2019 00:00"
"2";"643";"283";"20.05.2019 00:00"
"2";"617";"269";"21.05.2019 00:00"
"2";"544";"253";"22.05.2019 00:00"
"3";"626";"260";"23.05.2019 00:00"
"3";"509";"201";"24.05.2019 00:00"
"1";"276";"120";"25.05.2019 00:00"
"1";"331";"168";"26.05.2019 00:00"
"5";"699";"300";"27.05.2019 00:00"
"3";"694";"281";"28.05.2019 00:00"
"4";"540";"215";"29.05.2019 00:00"
"2";"308";"162";"30.05.2019 00:00"
"4";"518";"184";"31.05.2019 00:00"
"4";"200";"89";"01.06.2019 00:00"
"1";"235";"121";"02.06.2019 00:00"
"2";"389";"189";"03.06.2019 00:00"
"4";"363";"167";"04.06.2019 00:00"
"2";"310";"142";"05.06.2019 00:00"
"4";"314";"149";"06.06.2019 00:00"
"1";"270";"103";"07.06.2019 00:00"
"1";"154";"61";"08.06.2019 00:00"
"1";"183";"83";"09.06.2019 00:00"
"1";"290";"141";"10.06.2019 00:00"
"6";"429";"197";"11.06.2019 00:00"
"1";"364";"167";"12.06.2019 00:00"
"3";"278";"139";"13.06.2019 00:00"
"1";"222";"91";"14.06.2019 00:00"
"1";"146";"58";"15.06.2019 00:00"
"2";"158";"79";"16.06.2019 00:00"
"1";"415";"155";"17.06.2019 00:00"
"3";"266";"116";"18.06.2019 00:00"
"2";"260";"113";"19.06.2019 00:00"
"1";"278";"113";"20.06.2019 00:00"
"1";"282";"101";"21.06.2019 00:00"
"1";"146";"60";"22.06.2019 00:00"
"1";"112";"56";"23.06.2019 00:00"
"1";"332";"139";"24.06.2019 00:00"
"2";"268";"108";"25.06.2019 00:00"
"1";"188";"88";"26.06.2019 00:00"
"2";"230";"92";"27.06.2019 00:00"
"1";"164";"70";"28.06.2019 00:00"
"1";"96";"39";"29.06.2019 00:00"
"2";"103";"50";"30.06.2019 00:00"
"4";"343";"139";"01.07.2019 00:00"
"1";"289";"120";"02.07.2019 00:00"
"2";"307";"104";"03.07.2019 00:00"
"3";"249";"90";"04.07.2019 00:00"
"1";"208";"76";"05.07.2019 00:00"
"3";"44";"17";"06.07.2019 00:00"
"1";"86";"37";"07.07.2019 00:00"
"1";"325";"122";"08.07.2019 00:00"
"3";"212";"95";"09.07.2019 00:00"
"1";"177";"76";"10.07.2019 00:00"
"1";"211";"80";"11.07.2019 00:00"
"1";"126";"50";"12.07.2019 00:00"
"3";"33";"15";"13.07.2019 00:00"
"1";"48";"19";"14.07.2019 00:00"
"1";"121";"53";"15.07.2019 00:00"
"1";"119";"49";"16.07.2019 00:00"
"1";"113";"50";"17.07.2019 00:00"
"1";"107";"47";"18.07.2019 00:00"
"1";"84";"32";"19.07.2019 00:00"
"1";"38";"14";"20.07.2019 00:00"
"1";"28";"11";"21.07.2019 00:00"
"1";"55";"22";"22.07.2019 00:00"
"2";"73";"24";"23.07.2019 00:00"
"1";"53";"22";"24.07.2019 00:00"
"1";"47";"20";"25.07.2019 00:00"
"1";"38";"15";"26.07.2019 00:00"
"1";"29";"10";"27.07.2019 00:00"
"1";"36";"15";"28.07.2019 00:00"
"1";"45";"20";"29.07.2019 00:00"
"1";"72";"25";"30.07.2019 00:00"
"1";"63";"22";"31.07.2019 00:00"
"1";"33";"11";"01.08.2019 00:00"
"1";"48";"18";"02.08.2019 00:00"
"2";"28";"11";"03.08.2019 00:00"
"1";"37";"18";"04.08.2019 00:00"
"5";"64";"20";"05.08.2019 00:00"
"1";"127";"51";"06.08.2019 00:00"
"3";"141";"58";"07.08.2019 00:00"
"2";"122";"48";"08.08.2019 00:00"
"1";"95";"37";"09.08.2019 00:00"
"1";"61";"27";"10.08.2019 00:00"
"1";"68";"32";"11.08.2019 00:00"
"3";"265";"106";"12.08.2019 00:00"
"2";"247";"103";"13.08.2019 00:00"
"1";"238";"95";"14.08.2019 00:00"
"1";"214";"87";"15.08.2019 00:00"
"1";"212";"79";"16.08.2019 00:00"
"1";"61";"23";"17.08.2019 00:00"
"1";"74";"35";"18.08.2019 00:00"
"1";"420";"142";"19.08.2019 00:00"
"1";"353";"132";"20.08.2019 00:00"
"1";"384";"128";"21.08.2019 00:00"
"1";"339";"125";"22.08.2019 00:00"
"2";"264";"101";"23.08.2019 00:00"
"3";"81";"41";"24.08.2019 00:00"
"2";"115";"57";"25.08.2019 00:00"
"6";"333";"126";"26.08.2019 00:00"
"2";"251";"106";"27.08.2019 00:00"
"2";"272";"113";"28.08.2019 00:00"
"1";"398";"143";"29.08.2019 00:00"
"1";"326";"123";"30.08.2019 00:00"
"2";"80";"34";"31.08.2019 00:00"
"2";"97";"45";"01.09.2019 00:00"
"1";"250";"115";"02.09.2019 00:00"
"1";"263";"107";"03.09.2019 00:00"
"2";"298";"119";"04.09.2019 00:00"
"3";"338";"139";"05.09.2019 00:00"
"1";"339";"135";"06.09.2019 00:00"
"3";"144";"58";"07.09.2019 00:00"
"1";"146";"68";"08.09.2019 00:00"
"3";"479";"173";"09.09.2019 00:00"
"1";"460";"178";"10.09.2019 00:00"
"3";"472";"192";"11.09.2019 00:00"
"2";"390";"164";"12.09.2019 00:00"
"1";"470";"162";"13.09.2019 00:00"
"1";"179";"70";"14.09.2019 00:00"
"1";"228";"111";"15.09.2019 00:00"
"2";"1062";"420";"16.09.2019 00:00"
"8";"1404";"487";"17.09.2019 00:00"
"2";"1110";"474";"18.09.2019 00:00"
"4";"1324";"535";"19.09.2019 00:00"
"2";"1069";"395";"20.09.2019 00:00"
"3";"366";"155";"21.09.2019 00:00"
"4";"417";"208";"22.09.2019 00:00"
"2";"1379";"574";"23.09.2019 00:00"
"5";"1125";"501";"24.09.2019 00:00"
"3";"1229";"534";"25.09.2019 00:00"
"4";"1095";"478";"26.09.2019 00:00"
"3";"1081";"358";"27.09.2019 00:00"
"1";"312";"136";"28.09.2019 00:00"
"2";"400";"202";"29.09.2019 00:00"
"5";"1154";"507";"30.09.2019 00:00"
"1";"977";"449";"01.10.2019 00:00"
"3";"1177";"483";"02.10.2019 00:00"
"4";"1012";"450";"03.10.2019 00:00"
"3";"1184";"385";"04.10.2019 00:00"
"1";"273";"122";"05.10.2019 00:00"
"1";"378";"176";"06.10.2019 00:00"
"5";"1209";"472";"07.10.2019 00:00"
"3";"1078";"450";"08.10.2019 00:00"
"3";"967";"419";"09.10.2019 00:00"
"2";"993";"429";"10.10.2019 00:00"
"1";"950";"325";"11.10.2019 00:00"
"2";"257";"109";"12.10.2019 00:00"
"3";"343";"173";"13.10.2019 00:00"
"2";"1141";"477";"14.10.2019 00:00"
"4";"1228";"506";"15.10.2019 00:00"
"4";"973";"436";"16.10.2019 00:00"
"4";"1080";"471";"17.10.2019 00:00"
"7";"1067";"386";"18.10.2019 00:00"
"3";"289";"134";"19.10.2019 00:00"
"1";"393";"195";"20.10.2019 00:00"
"4";"1236";"514";"21.10.2019 00:00"
"1";"1013";"440";"22.10.2019 00:00"
"3";"968";"427";"23.10.2019 00:00"
"5";"974";"424";"24.10.2019 00:00"
"2";"1068";"356";"25.10.2019 00:00"
"3";"260";"116";"26.10.2019 00:00"
"1";"384";"186";"27.10.2019 00:00"
"2";"1153";"470";"28.10.2019 00:00"
"1";"1021";"432";"29.10.2019 00:00"
"2";"951";"400";"30.10.2019 00:00"
"1";"879";"380";"31.10.2019 00:00"
"2";"967";"337";"01.11.2019 00:00"
"2";"294";"126";"02.11.2019 00:00"
"1";"403";"176";"03.11.2019 00:00"
"4";"1036";"461";"04.11.2019 00:00"
"6";"1023";"443";"05.11.2019 00:00"
"1";"929";"423";"06.11.2019 00:00"
"1";"1038";"411";"07.11.2019 00:00"
"2";"954";"324";"08.11.2019 00:00"
"3";"286";"119";"09.11.2019 00:00"
"3";"388";"172";"10.11.2019 00:00"
"2";"1012";"435";"11.11.2019 00:00"
"1";"1139";"456";"12.11.2019 00:00"
"4";"821";"372";"13.11.2019 00:00"
"2";"905";"401";"14.11.2019 00:00"
"2";"860";"314";"15.11.2019 00:00"
"1";"276";"119";"16.11.2019 00:00"
"2";"390";"174";"17.11.2019 00:00"
"5";"1106";"432";"18.11.2019 00:00"
"3";"941";"400";"19.11.2019 00:00"
"1";"861";"376";"20.11.2019 00:00"
"2";"915";"385";"21.11.2019 00:00"
"3";"839";"288";"22.11.2019 00:00"
"4";"248";"103";"23.11.2019 00:00"
"3";"375";"181";"24.11.2019 00:00"
"6";"1072";"448";"25.11.2019 00:00"
"2";"877";"390";"26.11.2019 00:00"
"4";"864";"386";"27.11.2019 00:00"
"4";"847";"370";"28.11.2019 00:00"
"1";"789";"277";"29.11.2019 00:00"
"1";"292";"121";"30.11.2019 00:00"
"2";"361";"163";"01.12.2019 00:00"
"3";"922";"391";"02.12.2019 00:00"
"1";"869";"372";"03.12.2019 00:00"
"4";"789";"363";"04.12.2019 00:00"
"1";"902";"383";"05.12.2019 00:00"
"2";"838";"290";"06.12.2019 00:00"
"4";"283";"112";"07.12.2019 00:00"
"3";"375";"177";"08.12.2019 00:00"
"3";"938";"401";"09.12.2019 00:00"
"4";"799";"358";"10.12.2019 00:00"
"4";"812";"368";"11.12.2019 00:00"
"4";"836";"376";"12.12.2019 00:00"
"8";"835";"330";"13.12.2019 00:00"
"3";"276";"128";"14.12.2019 00:00"
"2";"340";"174";"15.12.2019 00:00"
"10";"854";"373";"16.12.2019 00:00"
"3";"990";"412";"17.12.2019 00:00"
"4";"582";"281";"18.12.2019 00:00"
"8";"646";"281";"19.12.2019 00:00"
"5";"562";"211";"20.12.2019 00:00"
"4";"104";"44";"21.12.2019 00:00"
"1";"103";"50";"22.12.2019 00:00"
"2";"177";"76";"23.12.2019 00:00"
"1";"73";"29";"24.12.2019 00:00"
"1";"64";"26";"25.12.2019 00:00"
"1";"140";"49";"26.12.2019 00:00"
"1";"169";"70";"27.12.2019 00:00"
"2";"129";"56";"28.12.2019 00:00"
"1";"134";"59";"29.12.2019 00:00"
"1";"158";"70";"30.12.2019 00:00"
"4";"117";"45";"31.12.2019 00:00"
"1";"104";"42";"01.01.2020 00:00"
"1";"212";"94";"02.01.2020 00:00"
"1";"232";"104";"03.01.2020 00:00"
"1";"241";"101";"04.01.2020 00:00"
"2";"227";"114";"05.01.2020 00:00"
"5";"432";"207";"06.01.2020 00:00"
"3";"421";"182";"07.01.2020 00:00"
"5";"348";"160";"08.01.2020 00:00"
"4";"422";"166";"09.01.2020 00:00"
"2";"329";"139";"10.01.2020 00:00"
"1";"227";"98";"11.01.2020 00:00"
"2";"198";"92";"12.01.2020 00:00"
"3";"417";"193";"13.01.2020 00:00"
"2";"345";"162";"14.01.2020 00:00"
"2";"306";"149";"15.01.2020 00:00"
"6";"294";"148";"16.01.2020 00:00"
"4";"373";"151";"17.01.2020 00:00"
"1";"205";"92";"18.01.2020 00:00"
"1";"199";"92";"19.01.2020 00:00"
"2";"467";"220";"20.01.2020 00:00"
"2";"455";"205";"21.01.2020 00:00"
"4";"384";"172";"22.01.2020 00:00"
"3";"457";"196";"23.01.2020 00:00"
"8";"476";"187";"24.01.2020 00:00"
"3";"186";"85";"25.01.2020 00:00"
"1";"185";"93";"26.01.2020 00:00"
"2";"447";"191";"27.01.2020 00:00"
"2";"432";"188";"28.01.2020 00:00"
"4";"419";"174";"29.01.2020 00:00"
"1";"353";"170";"30.01.2020 00:00"
"4";"401";"169";"31.01.2020 00:00"
"1";"190";"83";"01.02.2020 00:00"
"2";"233";"96";"02.02.2020 00:00"
"3";"509";"210";"03.02.2020 00:00"
"4";"414";"166";"04.02.2020 00:00"
"3";"365";"154";"05.02.2020 00:00"
"2";"286";"136";"06.02.2020 00:00"
"2";"251";"106";"07.02.2020 00:00"
"2";"92";"42";"08.02.2020 00:00"
"1";"94";"48";"09.02.2020 00:00"
"1";"265";"108";"10.02.2020 00:00"
"1";"227";"100";"11.02.2020 00:00"
"1";"231";"98";"12.02.2020 00:00"
"1";"259";"107";"13.02.2020 00:00"
"1";"241";"98";"14.02.2020 00:00"
"2";"114";"55";"15.02.2020 00:00"
"1";"214";"103";"16.02.2020 00:00"
"3";"1117";"444";"17.02.2020 00:00"
"1";"1163";"450";"18.02.2020 00:00"
"1";"1198";"453";"19.02.2020 00:00"
"2";"1146";"439";"20.02.2020 00:00"
"2";"1081";"326";"21.02.2020 00:00"
"3";"234";"90";"22.02.2020 00:00"
"1";"318";"146";"23.02.2020 00:00"
"3";"1094";"463";"24.02.2020 00:00"
"3";"1072";"458";"25.02.2020 00:00"
"2";"1042";"435";"26.02.2020 00:00"
"4";"1044";"428";"27.02.2020 00:00"
"2";"995";"306";"28.02.2020 00:00"
"1";"266";"109";"29.02.2020 00:00"
"1";"301";"149";"01.03.2020 00:00"
"2";"969";"427";"02.03.2020 00:00"
"1";"928";"406";"03.03.2020 00:00"
"1";"986";"390";"04.03.2020 00:00"
"1";"954";"408";"05.03.2020 00:00"
"3";"936";"305";"06.03.2020 00:00"
"1";"334";"135";"07.03.2020 00:00"
"1";"305";"145";"08.03.2020 00:00"
"3";"1003";"434";"09.03.2020 00:00"
"2";"880";"376";"10.03.2020 00:00"
"3";"904";"374";"11.03.2020 00:00"
"1";"872";"360";"12.03.2020 00:00"
"1";"826";"275";"13.03.2020 00:00"
"2";"271";"126";"14.03.2020 00:00"
"3";"235";"116";"15.03.2020 00:00"
"2";"734";"330";"16.03.2020 00:00"
"2";"852";"390";"17.03.2020 00:00"
"2";"781";"374";"18.03.2020 00:00"
"1";"948";"415";"19.03.2020 00:00"
"1";"932";"375";"20.03.2020 00:00"
"1";"487";"205";"21.03.2020 00:00"
"5";"375";"179";"22.03.2020 00:00"
"2";"1086";"485";"23.03.2020 00:00"
"4";"1070";"486";"24.03.2020 00:00"
"4";"1020";"463";"25.03.2020 00:00"
"1";"1119";"499";"26.03.2020 00:00"
"3";"979";"389";"27.03.2020 00:00"
"3";"353";"160";"28.03.2020 00:00"
"1";"470";"208";"29.03.2020 00:00"
"4";"1119";"497";"30.03.2020 00:00"
"3";"1063";"459";"31.03.2020 00:00"
"3";"1015";"434";"01.04.2020 00:00"
"2";"1072";"429";"02.04.2020 00:00"
"3";"923";"361";"03.04.2020 00:00"
"3";"350";"149";"04.04.2020 00:00"
"2";"317";"158";"05.04.2020 00:00"
"5";"1032";"454";"06.04.2020 00:00"
"4";"1027";"419";"07.04.2020 00:00"
"7";"888";"374";"08.04.2020 00:00"
"1";"941";"352";"09.04.2020 00:00"
"2";"335";"142";"10.04.2020 00:00"
"6";"219";"95";"11.04.2020 00:00"
"2";"200";"77";"12.04.2020 00:00"
"2";"352";"160";"13.04.2020 00:00"
"3";"690";"293";"14.04.2020 00:00"
"1";"670";"273";"15.04.2020 00:00"
"4";"677";"287";"16.04.2020 00:00"
"1";"629";"250";"17.04.2020 00:00"
"3";"282";"127";"18.04.2020 00:00"
"2";"364";"174";"19.04.2020 00:00"
"3";"1011";"440";"20.04.2020 00:00"
"9";"1075";"467";"21.04.2020 00:00"
"11";"933";"408";"22.04.2020 00:00"
"5";"1038";"429";"23.04.2020 00:00"
"3";"934";"336";"24.04.2020 00:00"
"3";"320";"139";"25.04.2020 00:00"
"3";"355";"168";"26.04.2020 00:00"
"2";"998";"425";"27.04.2020 00:00"
"6";"1019";"448";"28.04.2020 00:00"
"2";"970";"410";"29.04.2020 00:00"
"5";"900";"395";"30.04.2020 00:00"
"2";"525";"232";"01.05.2020 00:00"
"4";"336";"154";"02.05.2020 00:00"
"1";"338";"160";"03.05.2020 00:00"
"5";"986";"421";"04.05.2020 00:00"
"2";"999";"442";"05.05.2020 00:00"
"3";"887";"386";"06.05.2020 00:00"
"1";"826";"366";"07.05.2020 00:00"
"5";"802";"304";"08.05.2020 00:00"
"1";"348";"145";"09.05.2020 00:00"
"5";"290";"145";"10.05.2020 00:00"
"5";"998";"427";"11.05.2020 00:00"
"43";"157";"92";"12.05.2020 00:00"
