"Name der Installation";"phzh"
"Datum des Reports";"02. Nov 2020, 17:27"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (01. Nov 2019, 01:00 - 31. Okt 2020, 01:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"796889"
"Abgänge";"795459"
"Abgänge - Logout";"99182"
"Abgänge - Timeout";"692517"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"3760"

"active_min";"active_max";"active_avg";"slot_begin"
"2";"967";"347";"01.11.2019 00:00"
"2";"294";"126";"02.11.2019 00:00"
"1";"403";"176";"03.11.2019 00:00"
"4";"1036";"461";"04.11.2019 00:00"
"6";"1023";"443";"05.11.2019 00:00"
"1";"929";"423";"06.11.2019 00:00"
"1";"1038";"411";"07.11.2019 00:00"
"2";"954";"324";"08.11.2019 00:00"
"3";"286";"119";"09.11.2019 00:00"
"3";"388";"172";"10.11.2019 00:00"
"2";"1012";"435";"11.11.2019 00:00"
"1";"1139";"456";"12.11.2019 00:00"
"4";"821";"372";"13.11.2019 00:00"
"2";"905";"401";"14.11.2019 00:00"
"2";"860";"314";"15.11.2019 00:00"
"1";"276";"119";"16.11.2019 00:00"
"2";"390";"174";"17.11.2019 00:00"
"5";"1106";"432";"18.11.2019 00:00"
"3";"941";"400";"19.11.2019 00:00"
"1";"861";"376";"20.11.2019 00:00"
"2";"915";"385";"21.11.2019 00:00"
"3";"839";"288";"22.11.2019 00:00"
"4";"248";"103";"23.11.2019 00:00"
"3";"375";"181";"24.11.2019 00:00"
"6";"1072";"448";"25.11.2019 00:00"
"2";"877";"390";"26.11.2019 00:00"
"4";"864";"386";"27.11.2019 00:00"
"4";"847";"370";"28.11.2019 00:00"
"1";"789";"277";"29.11.2019 00:00"
"1";"292";"121";"30.11.2019 00:00"
"2";"361";"163";"01.12.2019 00:00"
"3";"922";"391";"02.12.2019 00:00"
"1";"869";"372";"03.12.2019 00:00"
"4";"789";"363";"04.12.2019 00:00"
"1";"902";"383";"05.12.2019 00:00"
"2";"838";"290";"06.12.2019 00:00"
"4";"283";"112";"07.12.2019 00:00"
"3";"375";"177";"08.12.2019 00:00"
"3";"938";"401";"09.12.2019 00:00"
"4";"799";"358";"10.12.2019 00:00"
"4";"812";"368";"11.12.2019 00:00"
"4";"836";"376";"12.12.2019 00:00"
"8";"835";"330";"13.12.2019 00:00"
"3";"276";"128";"14.12.2019 00:00"
"2";"340";"174";"15.12.2019 00:00"
"10";"854";"373";"16.12.2019 00:00"
"3";"990";"412";"17.12.2019 00:00"
"4";"582";"281";"18.12.2019 00:00"
"8";"646";"281";"19.12.2019 00:00"
"5";"562";"211";"20.12.2019 00:00"
"4";"104";"44";"21.12.2019 00:00"
"1";"103";"50";"22.12.2019 00:00"
"2";"177";"76";"23.12.2019 00:00"
