"Name der Installation";"phzh"
"Datum des Reports";"13. Okt 2021, 10:50"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (30. Jun 2020, 02:00 - 30. Jun 2021, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"945543"
"Abgänge";"944004"
"Abgänge - Logout";"103565"
"Abgänge - Timeout";"835679"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4760"

"active_min";"active_max";"active_avg";"slot_begin"
"1";"285";"141";"30.06.2020 00:00"
"2";"279";"117";"01.07.2020 00:00"
"3";"306";"124";"02.07.2020 00:00"
"1";"246";"99";"03.07.2020 00:00"
"1";"117";"42";"04.07.2020 00:00"
"2";"71";"36";"05.07.2020 00:00"
"1";"351";"136";"06.07.2020 00:00"
"1";"278";"119";"07.07.2020 00:00"
"1";"229";"92";"08.07.2020 00:00"
"1";"188";"80";"09.07.2020 00:00"
"1";"157";"62";"10.07.2020 00:00"
"1";"67";"26";"11.07.2020 00:00"
"1";"67";"30";"12.07.2020 00:00"
"1";"149";"69";"13.07.2020 00:00"
"1";"159";"70";"14.07.2020 00:00"
"1";"152";"71";"15.07.2020 00:00"
"1";"159";"72";"16.07.2020 00:00"
"1";"125";"50";"17.07.2020 00:00"
"1";"51";"21";"18.07.2020 00:00"
"1";"38";"18";"19.07.2020 00:00"
"1";"86";"35";"20.07.2020 00:00"
"1";"98";"37";"21.07.2020 00:00"
"1";"82";"33";"22.07.2020 00:00"
"1";"89";"33";"23.07.2020 00:00"
"1";"70";"28";"24.07.2020 00:00"
"1";"35";"13";"25.07.2020 00:00"
"1";"38";"18";"26.07.2020 00:00"
"2";"94";"34";"27.07.2020 00:00"
"1";"105";"37";"28.07.2020 00:00"
"1";"89";"36";"29.07.2020 00:00"
"1";"85";"34";"30.07.2020 00:00"
"1";"78";"30";"31.07.2020 00:00"
"5";"40";"15";"01.08.2020 00:00"
"1";"54";"24";"02.08.2020 00:00"
"1";"170";"62";"03.08.2020 00:00"
"1";"174";"67";"04.08.2020 00:00"
"1";"117";"52";"05.08.2020 00:00"
"2";"139";"52";"06.08.2020 00:00"
"1";"133";"51";"07.08.2020 00:00"
"1";"80";"30";"08.08.2020 00:00"
"1";"100";"43";"09.08.2020 00:00"
"1";"373";"154";"10.08.2020 00:00"
"1";"356";"138";"11.08.2020 00:00"
"1";"272";"115";"12.08.2020 00:00"
"1";"258";"106";"13.08.2020 00:00"
"1";"284";"105";"14.08.2020 00:00"
"1";"79";"33";"15.08.2020 00:00"
"2";"117";"56";"16.08.2020 00:00"
"2";"525";"200";"17.08.2020 00:00"
"2";"454";"199";"18.08.2020 00:00"
"3";"396";"174";"19.08.2020 00:00"
"1";"420";"159";"20.08.2020 00:00"
"3";"384";"150";"21.08.2020 00:00"
"2";"110";"50";"22.08.2020 00:00"
"1";"132";"68";"23.08.2020 00:00"
"1";"340";"148";"24.08.2020 00:00"
"1";"291";"133";"25.08.2020 00:00"
"1";"313";"125";"26.08.2020 00:00"
"1";"325";"141";"27.08.2020 00:00"
"2";"288";"109";"28.08.2020 00:00"
"1";"136";"55";"29.08.2020 00:00"
"1";"183";"84";"30.08.2020 00:00"
"3";"380";"165";"31.08.2020 00:00"
"2";"292";"130";"01.09.2020 00:00"
"1";"454";"165";"02.09.2020 00:00"
"1";"455";"200";"03.09.2020 00:00"
"2";"490";"204";"04.09.2020 00:00"
"2";"269";"107";"05.09.2020 00:00"
"3";"232";"110";"06.09.2020 00:00"
"3";"482";"228";"07.09.2020 00:00"
"4";"441";"206";"08.09.2020 00:00"
"1";"551";"235";"09.09.2020 00:00"
"1";"948";"313";"10.09.2020 00:00"
"2";"1034";"322";"11.09.2020 00:00"
"1";"293";"137";"12.09.2020 00:00"
"1";"489";"211";"13.09.2020 00:00"
"5";"1697";"622";"14.09.2020 00:00"
"2";"1452";"644";"15.09.2020 00:00"
"2";"1643";"700";"16.09.2020 00:00"
"2";"1604";"678";"17.09.2020 00:00"
"8";"1650";"577";"18.09.2020 00:00"
"2";"411";"184";"19.09.2020 00:00"
"3";"542";"286";"20.09.2020 00:00"
"4";"1798";"773";"21.09.2020 00:00"
"1";"1365";"643";"22.09.2020 00:00"
