"Name der Installation";"phzh"
"Datum des Reports";"01. Dez 2021, 09:45"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (30. Nov 2020, 01:00 - 30. Nov 2021, 01:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"1008960"
"Abgänge";"1008016"
"Abgänge - Logout";"101457"
"Abgänge - Timeout";"901669"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4890"

"active_min";"active_max";"active_avg";"slot_begin"
"6";"1344";"624";"30.11.2020 00:00"
"3";"1087";"511";"01.12.2020 00:00"
"5";"1292";"575";"02.12.2020 00:00"
"4";"1267";"567";"03.12.2020 00:00"
"5";"1354";"491";"04.12.2020 00:00"
"4";"453";"204";"05.12.2020 00:00"
"1";"615";"278";"06.12.2020 00:00"
"10";"1399";"633";"07.12.2020 00:00"
"4";"1158";"550";"08.12.2020 00:00"
"4";"1236";"566";"09.12.2020 00:00"
"7";"1227";"570";"10.12.2020 00:00"
"8";"1149";"459";"11.12.2020 00:00"
"4";"406";"200";"12.12.2020 00:00"
"2";"572";"271";"13.12.2020 00:00"
"10";"1289";"585";"14.12.2020 00:00"
"11";"1193";"523";"15.12.2020 00:00"
"8";"1088";"493";"16.12.2020 00:00"
"5";"1134";"509";"17.12.2020 00:00"
"3";"1065";"392";"18.12.2020 00:00"
"7";"363";"120";"19.12.2020 00:00"
"3";"225";"104";"20.12.2020 00:00"
"7";"360";"163";"21.12.2020 00:00"
"4";"290";"132";"22.12.2020 00:00"
"3";"232";"103";"23.12.2020 00:00"
"1";"122";"40";"24.12.2020 00:00"
"1";"81";"32";"25.12.2020 00:00"
"1";"110";"47";"26.12.2020 00:00"
"1";"169";"73";"27.12.2020 00:00"
"5";"283";"122";"28.12.2020 00:00"
"2";"258";"111";"29.12.2020 00:00"
"2";"261";"109";"30.12.2020 00:00"
"4";"180";"72";"31.12.2020 00:00"
"1";"179";"68";"01.01.2021 00:00"
"1";"271";"113";"02.01.2021 00:00"
"1";"329";"139";"03.01.2021 00:00"
"3";"589";"267";"04.01.2021 00:00"
"1";"505";"216";"05.01.2021 00:00"
"2";"529";"227";"06.01.2021 00:00"
"2";"640";"260";"07.01.2021 00:00"
"2";"496";"214";"08.01.2021 00:00"
"2";"328";"157";"09.01.2021 00:00"
"6";"287";"146";"10.01.2021 00:00"
"5";"646";"290";"11.01.2021 00:00"
"1";"635";"268";"12.01.2021 00:00"
"1";"431";"196";"13.01.2021 00:00"
"3";"499";"222";"14.01.2021 00:00"
"3";"426";"178";"15.01.2021 00:00"
"1";"233";"102";"16.01.2021 00:00"
"1";"314";"135";"17.01.2021 00:00"
"2";"680";"303";"18.01.2021 00:00"
"2";"486";"243";"19.01.2021 00:00"
"5";"539";"231";"20.01.2021 00:00"
"1";"656";"273";"21.01.2021 00:00"
"2";"566";"225";"22.01.2021 00:00"
"1";"332";"139";"23.01.2021 00:00"
"1";"237";"99";"24.01.2021 00:00"
"1";"595";"270";"25.01.2021 00:00"
"1";"632";"263";"26.01.2021 00:00"
"1";"637";"258";"27.01.2021 00:00"
"3";"425";"214";"28.01.2021 00:00"
"3";"630";"236";"29.01.2021 00:00"
"3";"333";"143";"30.01.2021 00:00"
"2";"277";"127";"31.01.2021 00:00"
"2";"727";"310";"01.02.2021 00:00"
"4";"566";"261";"02.02.2021 00:00"
"1";"572";"250";"03.02.2021 00:00"
"3";"646";"280";"04.02.2021 00:00"
"1";"657";"244";"05.02.2021 00:00"
"3";"295";"131";"06.02.2021 00:00"
"1";"246";"108";"07.02.2021 00:00"
"4";"651";"288";"08.02.2021 00:00"
"2";"533";"238";"09.02.2021 00:00"
"3";"496";"209";"10.02.2021 00:00"
"2";"557";"252";"11.02.2021 00:00"
