"Name der Installation";"phzh"
"Datum des Reports";"01. Jun 2022, 14:12"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (31. Mai 2021, 02:00 - 31. Mai 2022, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"925994"
"Abgänge";"925131"
"Abgänge - Logout";"85788"
"Abgänge - Timeout";"835213"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4130"

"active_min";"active_max";"active_avg";"slot_begin"
"11";"1173";"524";"31.05.2021 00:00"
"4";"894";"403";"01.06.2021 00:00"
"2";"933";"414";"02.06.2021 00:00"
"2";"897";"408";"03.06.2021 00:00"
"4";"816";"322";"04.06.2021 00:00"
"1";"397";"175";"05.06.2021 00:00"
"1";"390";"187";"06.06.2021 00:00"
"5";"739";"325";"07.06.2021 00:00"
"4";"594";"275";"08.06.2021 00:00"
"1";"587";"268";"09.06.2021 00:00"
"4";"537";"237";"10.06.2021 00:00"
"5";"544";"194";"11.06.2021 00:00"
"1";"305";"129";"12.06.2021 00:00"
"3";"308";"150";"13.06.2021 00:00"
"2";"596";"248";"14.06.2021 00:00"
"4";"428";"198";"15.06.2021 00:00"
"1";"472";"209";"16.06.2021 00:00"
"1";"489";"205";"17.06.2021 00:00"
"4";"394";"168";"18.06.2021 00:00"
"2";"291";"120";"19.06.2021 00:00"
"1";"288";"137";"20.06.2021 00:00"
"4";"417";"194";"21.06.2021 00:00"
"4";"364";"160";"22.06.2021 00:00"
"1";"340";"155";"23.06.2021 00:00"
"1";"359";"165";"24.06.2021 00:00"
"1";"280";"125";"25.06.2021 00:00"
"2";"172";"77";"26.06.2021 00:00"
"1";"181";"87";"27.06.2021 00:00"
"3";"512";"215";"28.06.2021 00:00"
"2";"406";"188";"29.06.2021 00:00"
"4";"366";"176";"30.06.2021 00:00"
"1";"297";"149";"01.07.2021 00:00"
"1";"359";"131";"02.07.2021 00:00"
"3";"150";"62";"03.07.2021 00:00"
