"Name der Installation";"phzh"
"Datum des Reports";"03. Jul 2023, 08:08"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (30. Jun 2022, 02:00 - 30. Jun 2023, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"776948"
"Abgänge";"775858"
"Abgänge - Logout";"57792"
"Abgänge - Timeout";"715263"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"2803"

"active_min";"active_max";"active_avg";"slot_begin"
"1";"260";"123";"30.06.2022 00:00"
"1";"294";"115";"01.07.2022 00:00"
"2";"118";"51";"02.07.2022 00:00"
"2";"142";"60";"03.07.2022 00:00"
"1";"398";"163";"04.07.2022 00:00"
"1";"274";"122";"05.07.2022 00:00"
"1";"216";"99";"06.07.2022 00:00"
"1";"249";"97";"07.07.2022 00:00"
"3";"256";"87";"08.07.2022 00:00"
"1";"67";"29";"09.07.2022 00:00"
"1";"78";"38";"10.07.2022 00:00"
"2";"293";"122";"11.07.2022 00:00"
"1";"237";"87";"12.07.2022 00:00"
"1";"173";"72";"13.07.2022 00:00"
"1";"129";"56";"14.07.2022 00:00"
"1";"119";"42";"15.07.2022 00:00"
"1";"39";"17";"16.07.2022 00:00"
"1";"57";"24";"17.07.2022 00:00"
"1";"110";"45";"18.07.2022 00:00"
"2";"101";"41";"19.07.2022 00:00"
"1";"97";"39";"20.07.2022 00:00"
"2";"94";"38";"21.07.2022 00:00"
"3";"71";"28";"22.07.2022 00:00"
"1";"29";"12";"23.07.2022 00:00"
"1";"29";"13";"24.07.2022 00:00"
"1";"82";"32";"25.07.2022 00:00"
"1";"40";"9";"26.07.2022 00:00"
"1";"85";"29";"27.07.2022 00:00"
"1";"86";"31";"28.07.2022 00:00"
"1";"62";"23";"29.07.2022 00:00"
"1";"30";"11";"30.07.2022 00:00"
"1";"29";"11";"31.07.2022 00:00"
"1";"45";"17";"01.08.2022 00:00"
"2";"88";"31";"02.08.2022 00:00"
"1";"77";"31";"03.08.2022 00:00"
"1";"72";"29";"04.08.2022 00:00"
"2";"59";"24";"05.08.2022 00:00"
"1";"44";"14";"06.08.2022 00:00"
"1";"47";"16";"07.08.2022 00:00"
"1";"122";"46";"08.08.2022 00:00"
"2";"122";"45";"09.08.2022 00:00"
"3";"118";"46";"10.08.2022 00:00"
"1";"145";"52";"11.08.2022 00:00"
"1";"100";"40";"12.08.2022 00:00"
"1";"57";"24";"13.08.2022 00:00"
"1";"66";"28";"14.08.2022 00:00"
"3";"277";"107";"15.08.2022 00:00"
"1";"234";"96";"16.08.2022 00:00"
"3";"285";"102";"17.08.2022 00:00"
"1";"228";"86";"18.08.2022 00:00"
"1";"160";"65";"19.08.2022 00:00"
"1";"120";"41";"20.08.2022 00:00"
"1";"78";"39";"21.08.2022 00:00"
"1";"249";"105";"22.08.2022 00:00"
"1";"255";"100";"23.08.2022 00:00"
"1";"299";"111";"24.08.2022 00:00"
"1";"270";"99";"25.08.2022 00:00"
"1";"220";"95";"26.08.2022 00:00"
"1";"90";"39";"27.08.2022 00:00"
"1";"102";"51";"28.08.2022 00:00"
"1";"288";"130";"29.08.2022 00:00"
"1";"232";"102";"30.08.2022 00:00"
